kmc_run_dir,run_dir,dpn_dir,zip_path,zip_rel_path,t_start,zip_analytical,method_1_qty,method_1_window,method_2_qty,method_2_window,method_3_qty,method_3_window,method_4_qty,method_4_window,sampling_rate
kmc_runs_v2_1.1,run_83,DPN_2000,kmc_runs_v2_1.1/run_83/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_83/DPN_2000/zip_length.csv,0.00192202,108824.0,2549.5315572470663,3153,47029.333333333336,9,2263.774332810047,12740,5057.519886363636,352,176.94296390109938
kmc_runs_v2_1.1,run_83,DPN_4000,kmc_runs_v2_1.1/run_83/DPN_4000/zip_length.csv,kmc_runs_v2_1.1/run_83/DPN_4000/zip_length.csv,0.00068536,108826.78,5006.970107807906,6122,5078.963052357965,5386,5440.438383838384,3960,20960.0206185567,194,107715.62550474147
kmc_runs_v2_1.1,run_83,DPN_500,kmc_runs_v2_1.1/run_83/DPN_500/zip_length.csv,kmc_runs_v2_1.1/run_83/DPN_500/zip_length.csv,0.00239516,108807.91,629.6165605095541,785,5892.222222222223,9,553.3897967317656,12545,1274.887640449438,89,174.23457397613925
kmc_runs_v2_1.1,run_84,DPN_100,kmc_runs_v2_1.1/run_84/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_84/DPN_100/zip_length.csv,0.00117473,79744.43,111.53950338600451,886,231.95652173913044,23,107.76316275632736,16239,133.6969696969697,165,451.0701471904539
kmc_runs_v2_1.1,run_84,DPN_1000,kmc_runs_v2_1.1/run_84/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_84/DPN_1000/zip_length.csv,0.000258192,79807.08,1117.3052218114603,8656,11135.1875,16,1100.0815352969496,22849,1690.943907156673,517,317.34408733575714
kmc_runs_v2_1.1,run_84,DPN_2000,kmc_runs_v2_1.1/run_84/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_84/DPN_2000/zip_length.csv,0.000295675,79810.57,2226.533817143537,16811,33230.6875,16,2200.592595815026,22987,3421.4727854855923,937,319.27070755560646
kmc_runs_v2_1.1,run_84,DPN_4000,kmc_runs_v2_1.1/run_84/DPN_4000/zip_length.csv,kmc_runs_v2_1.1/run_84/DPN_4000/zip_length.csv,0.000174446,79812.37,4362.588019121601,33470,4362.46062038228,33431,12210.989285714286,560,11553.80348652932,631,668612.09771029
kmc_runs_v2_1.1,run_84,DPN_500,kmc_runs_v2_1.1/run_84/DPN_500/zip_length.csv,kmc_runs_v2_1.1/run_84/DPN_500/zip_length.csv,9.4306e-05,79800.07,567.9464537341474,4258,3801.625,16,548.4906490649065,22725,1175.736,125,315.62099805207424
kmc_runs_v2_1.1,run_85,DPN_100,kmc_runs_v2_1.1/run_85/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_85/DPN_100/zip_length.csv,0.00285611,3002.06,107.3409090909091,44,120.07142857142857,14,104.31344047497186,9769,120.07142857142857,14,271.368469095247
kmc_runs_v2_1.1,run_85,DPN_1000,kmc_runs_v2_1.1/run_85/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_85/DPN_1000/zip_length.csv,0.00109895,3006.43,895.5400516795866,387,900.6425,400,876.1825053995681,926,917.5115384615384,260,8004.40893998276
kmc_runs_v2_1.1,run_85,DPN_2000,kmc_runs_v2_1.1/run_85/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_85/DPN_2000/zip_length.csv,0.000421147,3006.67,1381.0326086956522,828,1380.066759388039,719,1395.1199677938807,3726,1523.4947916666667,192,14380.282283237662
kmc_runs_v2_1.1,run_85,DPN_4000,kmc_runs_v2_1.1/run_85/DPN_4000/zip_length.csv,kmc_runs_v2_1.1/run_85/DPN_4000/zip_length.csv,0.000650233,3006.79,2063.5314322747895,1543,2054.277541083384,1643,2163.6336805555557,576,2190.677777777778,450,32858.18253488426
kmc_runs_v2_1.1,run_85,DPN_500,kmc_runs_v2_1.1/run_85/DPN_500/zip_length.csv,kmc_runs_v2_1.1/run_85/DPN_500/zip_length.csv,0.00152352,3005.94,501.05309734513276,226,503.81904761904764,105,481.05158822165544,8626,507.7586206896552,174,2093.4511230598073
kmc_runs_v2_1.1,run_86,DPN_100,kmc_runs_v2_1.1/run_86/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_86/DPN_100/zip_length.csv,0.000114855,51218.75,109.74656743971386,17334,291.25128205128203,195,106.77553468654783,135874,231.8512658227848,316,3908.0694467135445
kmc_runs_v2_1.1,run_86,DPN_1000,kmc_runs_v2_1.1/run_86/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_86/DPN_1000/zip_length.csv,0.000107854,51268.46,1090.6910214899176,159982,11310.578680203045,197,1098.7302402206813,130505,5651.832781456954,604,3934.288408985153
kmc_runs_v2_1.1,run_86,DPN_2000,kmc_runs_v2_1.1/run_86/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_86/DPN_2000/zip_length.csv,8.94269e-05,51271.21,2132.9480191465527,294570,32767.111675126904,197,2219.745847628383,128541,14223.687185929648,796,3945.360815957259
